;average_qli;ALTERNATIVE0;FPM_DISTRIBUTION;siglas;gdp_index;unemployment;num_mun_na_acp;firms_profit;average_workers;inflation
97;0.7113;False;True;N. HAMBURGO;19684.831000000002;2.549;12;1279.274;43.078;0.0041
98;0.7015;False;False;N. HAMBURGO;18280.602;2.5780000000000003;12;1388.059;43.153;0.005
99;0.6927;True;False;N. HAMBURGO;18560.099;2.582;12;308.96299999999997;43.235;0.0044
100;0.7638;True;False;PELOTAS;14259.829;2.258;2;448.333;56.282;0.0009
101;0.7723;False;True;PELOTAS;12445.486;2.207;2;329.591;56.067;0.0022
102;0.7681;True;True;PELOTAS;14907.536;2.167;2;-414.36699999999996;56.215;0.0027
103;0.7716;False;False;PELOTAS;13520.835;2.144;2;10.635;56.153999999999996;0.0018
104;0.757;False;False;POA;77664.7;2.6710000000000003;11;-322.938;46.631;0.0025
105;0.7624;False;True;POA;76330.01299999999;2.657;11;240.71900000000002;46.586999999999996;0.0027
106;0.7603;True;True;POA;76216.696;2.705;11;1041.693;46.552;0.0023
107;0.7344;True;False;POA;79690.54;2.659;11;-497.533;46.611000000000004;0.0032
108;0.6218;True;False;RECIFE;82547.745;5.3389999999999995;14;3245.453;84.946;0.0005
109;0.6624;False;False;RECIFE;83238.71;4.868;14;3346.2529999999997;85.15299999999998;0.0002
110;0.6706;False;True;RECIFE;82371.78;5.055;14;2520.351;84.964;0.0
111;0.6645;True;True;RECIFE;82417.033;4.999;14;4757.683;85.195;0.0002
112;0.7485;True;False;RIBEIRAO;16024.928;3.1180000000000003;4;-84.287;37.299;0.0079
113;0.7621;True;True;RIBEIRAO;16054.121000000001;2.9789999999999996;4;507.42199999999997;37.429;0.0081
114;0.767;False;True;RIBEIRAO;15356.065;3.145;4;633.214;37.469;0.0053
115;0.748;False;False;RIBEIRAO;15660.827;3.029;4;206.295;37.677;0.0041
116;0.7567;False;False;RJ;155520.737;2.083;19;4355.695;63.504;0.0007
117;0.7269;True;False;RJ;157070.272;2.0669999999999997;19;2905.736;63.503;0.001
118;0.7759;True;True;RJ;161837.18099999998;2.115;19;3619.3920000000003;63.427;0.0007
119;0.7701;False;True;RJ;163338.228;2.116;19;3334.196;63.523;0.0011
120;0.6307;True;False;SALVADOR;85070.75099999999;2.813;11;3145.369;73.014;0.0008
121;0.6661;False;True;SALVADOR;86297.944;2.875;11;906.817;72.939;0.0008
122;0.6625;True;True;SALVADOR;87066.686;3.023;11;1276.9560000000001;72.808;0.0002
123;0.6559999999999999;False;False;SALVADOR;86778.743;2.977;11;1925.935;72.857;0.0006
124;0.7759;False;True;SANTOS;42039.070999999996;2.616;8;1938.23;48.199;0.0026
125;0.7722;False;False;SANTOS;41477.453;2.515;8;1518.499;48.293;0.0041
126;0.7698;True;True;SANTOS;41878.286;2.6069999999999998;8;1823.7879999999998;48.244;0.0048
127;0.7609;True;False;SANTOS;42331.818;2.608;8;877.6110000000001;48.37600000000001;0.0026
