;average_qli;ALTERNATIVE0;FPM_DISTRIBUTION;siglas;ln_populacao_acp;area_acp;pct_superior_completo;num_mun_na_acp;hhi
567;0.7916;True;True;SP;16.88563399928261;9718.211;20.614866085632926;47;0.011793108007192785
575;0.7959999999999999;False;True;SP;16.88563399928261;9718.211;20.614866085632926;47;0.011793108007192785
583;0.7625;False;False;SOROCABA;14.046538148404661;2919.6479999999997;13.516940885738439;9;0.010382818576736836
591;0.7686;False;True;SOROCABA;14.046538148404661;2919.6479999999997;13.516940885738439;9;0.010382818576736836
599;0.7609999999999999;True;False;SOROCABA;14.046538148404661;2919.6479999999997;13.516940885738439;9;0.010382818576736836
607;0.772;True;True;SOROCABA;14.046538148404661;2919.6479999999997;13.516940885738439;9;0.010382818576736836
615;0.7289;False;False;VITORIA;14.452148760813794;2038.557;13.580348082616444;6;0.012961752133088388
623;0.7292;True;True;VITORIA;14.452148760813794;2038.557;13.580348082616444;6;0.012961752133088388
631;0.732;True;False;VITORIA;14.452148760813794;2038.557;13.580348082616444;6;0.012961752133088388
639;0.733;False;True;VITORIA;14.452148760813794;2038.557;13.580348082616444;6;0.012961752133088388
